token,exchange,symbol
831729,BSE_FO,TATACONSUM
868505,BSE_FO,TATACONSUM
850015,BSE_FO,TATACONSUM
833620,BSE_FO,TATASTEEL
870264,BSE_FO,TATASTEEL
851736,BSE_FO,TATASTEEL
833924,BSE_FO,TITAN
870546,BSE_FO,TITAN
852024,BSE_FO,TITAN
832111,BSE_FO,TVSMOTOR
868857,BSE_FO,TVSMOTOR
850359,BSE_FO,TVSMOTOR
836277,BSE_FO,TORNTPOWER
866283,BSE_FO,TORNTPOWER
854154,BSE_FO,TORNTPOWER
833311,BSE_FO,UPL
834095,BSE_FO,TRENT
870717,BSE_FO,TRENT
852167,BSE_FO,TRENT
836951,BSE_FO,TORNTPHARM
866937,BSE_FO,TORNTPHARM
854827,BSE_FO,TORNTPHARM
837294,BSE_FO,TITAGARH
867251,BSE_FO,TITAGARH
855140,BSE_FO,TITAGARH
869978,BSE_FO,UPL
832041,BSE_FO,TATATECH
868782,BSE_FO,TATATECH
850293,BSE_FO,TATATECH
832733,BSE_FO,TIINDIA
869453,BSE_FO,TIINDIA
850930,BSE_FO,TIINDIA
838195,BSE_FO,UNIONBANK
868138,BSE_FO,UNIONBANK
849627,BSE_FO,UNIONBANK
833748,BSE_FO,ULTRACEMCO
870391,BSE_FO,ULTRACEMCO
851867,BSE_FO,ULTRACEMCO
837443,BSE_FO,UNOMINDA
867380,BSE_FO,UNOMINDA
855283,BSE_FO,UNOMINDA
834322,BSE_FO,UNITDSPR
870909,BSE_FO,UNITDSPR
852351,BSE_FO,UNITDSPR
834986,BSE_FO,VBL
871477,BSE_FO,VBL
852940,BSE_FO,VBL
837973,BSE_FO,VEDL
867932,BSE_FO,VEDL
849423,BSE_FO,VEDL
869480,BSE_FO,VOLTAS
850961,BSE_FO,VOLTAS
865882,BSE_FO,WIPRO
852325,BSE_FO,APLAPOLLO
849378,BSE_FO,APLAPOLLO
852719,BSE_FO,APLAPOLLO
849791,BSE_FO,APLAPOLLO
853737,BSE_FO,APLAPOLLO
850790,BSE_FO,APLAPOLLO
854163,BSE_FO,APLAPOLLO
851201,BSE_FO,APLAPOLLO
860764,BSE_FO,APLAPOLLO
860445,BSE_FO,APLAPOLLO
853739,BSE_FO,WIPRO
871699,BSE_FO,YESBANK
853158,BSE_FO,YESBANK
868662,BSE_FO,ETERNAL
850177,BSE_FO,ETERNAL
860184,BSE_FO,APLAPOLLO
859934,BSE_FO,APLAPOLLO
860211,BSE_FO,APLAPOLLO
859968,BSE_FO,APLAPOLLO
860246,BSE_FO,APLAPOLLO
858072,BSE_FO,APLAPOLLO
858088,BSE_FO,APLAPOLLO
856078,BSE_FO,APLAPOLLO
850856,BSE_FO,APLAPOLLO
854832,BSE_FO,APLAPOLLO
851863,BSE_FO,APLAPOLLO
855236,BSE_FO,APLAPOLLO
852235,BSE_FO,APLAPOLLO
849288,BSE_FO,APLAPOLLO
850438,BSE_FO,APLAPOLLO
853794,BSE_FO,APLAPOLLO
850848,BSE_FO,APLAPOLLO
854221,BSE_FO,APLAPOLLO
851248,BSE_FO,APLAPOLLO
855228,BSE_FO,APLAPOLLO
852221,BSE_FO,APLAPOLLO
849275,BSE_FO,APLAPOLLO
852625,BSE_FO,APLAPOLLO
860781,BSE_FO,APLAPOLLO
860460,BSE_FO,APLAPOLLO
859964,BSE_FO,APLAPOLLO
860241,BSE_FO,APLAPOLLO
859999,BSE_FO,APLAPOLLO
859766,BSE_FO,APLAPOLLO
860029,BSE_FO,APLAPOLLO
859845,BSE_FO,APLAPOLLO
858058,BSE_FO,APLAPOLLO
858069,BSE_FO,APLAPOLLO
848506,BSE_FO,APLAPOLLO
847760,BSE_FO,APLAPOLLO
846429,BSE_FO,APLAPOLLO
845894,BSE_FO,APLAPOLLO
840760,BSE_FO,APLAPOLLO
840554,BSE_FO,APLAPOLLO
840469,BSE_FO,APLAPOLLO
834998,BSE_FO,APLAPOLLO
831756,BSE_FO,APLAPOLLO
835426,BSE_FO,APLAPOLLO
832191,BSE_FO,APLAPOLLO
835909,BSE_FO,APLAPOLLO
833270,BSE_FO,APLAPOLLO
836939,BSE_FO,APLAPOLLO
833728,BSE_FO,APLAPOLLO
837394,BSE_FO,APLAPOLLO
834168,BSE_FO,APLAPOLLO
835414,BSE_FO,APLAPOLLO
832177,BSE_FO,APLAPOLLO
